Role;Seniority;Specialization;Skill;Proficiency
Software Developer;Junior;iOS (Objective-C/Swift);iOS SDK;3
Software Developer;Junior;iOS (Objective-C/Swift);Swift Programming Language;3
Software Developer;Junior;iOS (Objective-C/Swift);UiKit;3
Software Developer;Junior;iOS (Objective-C/Swift);Xcode;3
Software Developer;Regular;SQL (PL/SQL - Oracle);Atlassian Jira;3
Software Developer;Regular;SQL (PL/SQL - Oracle);Git;3
Software Developer;Regular;SQL (PL/SQL - Oracle);PL/PLUS;3
Software Developer;Regular;SQL (PL/SQL - Oracle);PL/SQL;3
Software Developer;Regular;SQL (PL/SQL - Oracle);PL/SQL;4
Technical Writer;Senior;Technical Writing;Atlassian BitBucket;3
Technical Writer;Senior;Technical Writing;Atlassian Confluence;3
Technical Writer;Senior;Technical Writing;Atlassian Confluence;5
Technical Writer;Senior;Technical Writing;Atlassian Jira;3
Technical Writer;Senior;Technical Writing;Git;4
Technical Writer;Senior;Technical Writing;GitHub;3
Technical Writer;Senior;Technical Writing;GitHub;4
Technical Writer;Senior;Technical Writing;Markdown;4
Technical Writer;Senior;Technical Writing;Markdown;5
Technical Writer;Senior;Technical Writing;Microsoft Excel;4
Technical Writer;Senior;Technical Writing;Microsoft Office;3
Technical Writer;Senior;Technical Writing;Microsoft Office;5
Technical Writer;Senior;Technical Writing;Microsoft Visio;4
Technical Writer;Senior;Technical Writing;Microsoft Visio;5
Technical Writer;Senior;Technical Writing;Microsoft Windows;3
Technical Writer;Senior;Technical Writing;Microsoft Windows;5
Technical Writer;Senior;Technical Writing;Microsoft Word;5
Technical Writer;Senior;Technical Writing;Office Productivity – MS Word, MS Excel, MS PowerPoint;3
Technical Writer;Senior;Technical Writing;Office Productivity – MS Word, MS Excel, MS PowerPoint;4
Technical Writer;Senior;Technical Writing;Office Productivity – MS Word, MS Excel, MS PowerPoint;5
Technical Writer;Senior;Technical Writing;Pandoc;3
Technical Writer;Senior;Technical Writing;Technical Documentation;3
Technical Writer;Senior;Technical Writing;Technical Documentation;5
Technical Writer;Senior;Technical Writing;Technical Writing;3
